Depto;Departamento;Fam;Familia;anioretail;mesretail;ventasnetas;costos;Utilidad;% Margen
1;Juguetes;904;Lanzadores;2013;4;70713;-39873;30840;0.44
1;Juguetes;904;Lanzadores;2013;7;102790;-55493;47297;0.46
1;Juguetes;904;Lanzadores;2013;10;142334;-80685;61649;0.43
1;Juguetes;905;Deportes;2013;5;114179;-57961;56218;0.49
1;Juguetes;905;Deportes;2013;8;165261;-104636;60624;0.37
1;Juguetes;905;Deportes;2013;11;319366;-177090;142276;0.45
1;Juguetes;906;Figuras de Acción;2013;5;331188;-214959;116229;0.35
1;Juguetes;906;Figuras de Acción;2013;8;548821;-379172;169648;0.31
1;Juguetes;906;Figuras de Acción;2013;11;729826;-431502;298324;0.41
1;Juguetes;907;Hobbies;2013;2;29350;-14904;14446;0.49
1;Juguetes;907;Hobbies;2013;5;30222;-16149;14072;0.47
1;Juguetes;907;Hobbies;2013;8;47187;-31371;15816;0.34
1;Juguetes;907;Hobbies;2013;12;345790;-314680;31110;0.09
1;Juguetes;908;Educativo;2013;3;32942;-17571;15371;0.47
1;Juguetes;908;Educativo;2013;6;50743;-27613;23130;0.46
1;Juguetes;909;Pistas;2013;7;140539;-70187;70352;0.5
1;Juguetes;909;Pistas;2013;10;165012;-86737;78275;0.47
1;Juguetes;910;Vehículos RC;2013;2;72460;-31209;41251;0.57
1;Juguetes;910;Vehículos RC;2013;9;108367;-56293;52074;0.48
